Date;Temp;Origine;Site
30/12/1894 00:00:00;4.50;11;19
31/12/1894 00:00:00;4.30;11;19
1/1/1895 00:00:00;4.00;11;19
2/1/1895 00:00:00;3.70;11;19
3/1/1895 00:00:00;3.40;11;19
4/1/1895 00:00:00;3.10;11;19
5/1/1895 00:00:00;2.90;11;19
6/1/1895 00:00:00;2.30;11;19
7/1/1895 00:00:00;1.90;11;19
8/1/1895 00:00:00;1.60;11;19
9/1/1895 00:00:00;1.60;11;19
10/1/1895 00:00:00;1.30;11;19
11/1/1895 00:00:00;0.80;11;19
12/1/1895 00:00:00;0.30;11;19
13/1/1895 00:00:00;0.20;11;19
14/1/1895 00:00:00;0.60;11;19
15/1/1895 00:00:00;1.40;11;19
16/1/1895 00:00:00;1.70;11;19
17/1/1895 00:00:00;2.10;11;19
18/1/1895 00:00:00;2.10;11;19
19/1/1895 00:00:00;2.90;11;19
20/1/1895 00:00:00;3.50;11;19
21/1/1895 00:00:00;4.30;11;19
22/1/1895 00:00:00;4.60;11;19
23/1/1895 00:00:00;4.70;11;19
24/1/1895 00:00:00;4.50;11;19
25/1/1895 00:00:00;4.40;11;19
26/1/1895 00:00:00;3.20;11;19
27/1/1895 00:00:00;2.00;11;19
28/1/1895 00:00:00;1.10;11;19
29/1/1895 00:00:00;0.30;11;19
30/1/1895 00:00:00;0.30;11;19
31/1/1895 00:00:00;0.20;11;19
1/2/1895 00:00:00;0.20;11;19
2/2/1895 00:00:00;0.20;11;19
3/2/1895 00:00:00;0.10;11;19
4/2/1895 00:00:00;0.20;11;19
5/2/1895 00:00:00;0.20;11;19
6/2/1895 00:00:00;0.20;11;19
7/2/1895 00:00:00;0.20;11;19
8/2/1895 00:00:00;0.20;11;19
9/2/1895 00:00:00;0.20;11;19
10/2/1895 00:00:00;0.10;11;19
11/2/1895 00:00:00;0.10;11;19
12/2/1895 00:00:00;0.10;11;19
13/2/1895 00:00:00;0.10;11;19
14/2/1895 00:00:00;0.10;11;19
15/2/1895 00:00:00;0.10;11;19
16/2/1895 00:00:00;0.10;11;19
17/2/1895 00:00:00;0.10;11;19
18/2/1895 00:00:00;0.10;11;19
19/2/1895 00:00:00;0.10;11;19
20/2/1895 00:00:00;0.10;11;19
21/2/1895 00:00:00;0.10;11;19
22/2/1895 00:00:00;0.10;11;19
23/2/1895 00:00:00;0.10;11;19
24/2/1895 00:00:00;0.40;11;19
26/2/1895 00:00:00;0.90;11;19
27/2/1895 00:00:00;0.90;11;19
28/2/1895 00:00:00;0.90;11;19
1/3/1895 00:00:00;1.10;11;19
2/3/1895 00:00:00;1.90;11;19
3/3/1895 00:00:00;1.30;11;19
4/3/1895 00:00:00;1.30;11;19
5/3/1895 00:00:00;1.40;11;19
6/3/1895 00:00:00;1.10;11;19
7/3/1895 00:00:00;2.20;11;19
8/3/1895 00:00:00;2.60;11;19
9/3/1895 00:00:00;3.50;11;19
10/3/1895 00:00:00;3.40;11;19
11/3/1895 00:00:00;4.00;11;19
12/3/1895 00:00:00;4.80;11;19
13/3/1895 00:00:00;5.00;11;19
14/3/1895 00:00:00;4.50;11;19
15/3/1895 00:00:00;4.20;11;19
16/3/1895 00:00:00;4.60;11;19
17/3/1895 00:00:00;5.40;11;19
19/3/1895 00:00:00;4.80;11;19
21/3/1895 00:00:00;6.60;11;19
22/3/1895 00:00:00;7.40;11;19
23/3/1895 00:00:00;7.90;11;19
24/3/1895 00:00:00;5.00;11;19
25/3/1895 00:00:00;5.20;11;19
26/3/1895 00:00:00;5.30;11;19
27/3/1895 00:00:00;5.40;11;19
28/3/1895 00:00:00;5.10;11;19
29/3/1895 00:00:00;5.10;11;19
30/3/1895 00:00:00;4.30;11;19
31/3/1895 00:00:00;8.60;11;19
1/4/1895 00:00:00;8.40;11;19
2/4/1895 00:00:00;8.60;11;19
3/4/1895 00:00:00;8.50;11;19
4/4/1895 00:00:00;9.30;11;19
5/4/1895 00:00:00;9.80;11;19
6/4/1895 00:00:00;9.90;11;19
7/4/1895 00:00:00;9.70;11;19
8/4/1895 00:00:00;9.90;11;19
9/4/1895 00:00:00;10.10;11;19
10/4/1895 00:00:00;10.40;11;19
11/4/1895 00:00:00;11.70;11;19
12/4/1895 00:00:00;11.50;11;19
13/4/1895 00:00:00;11.60;11;19
14/4/1895 00:00:00;11.20;11;19
15/4/1895 00:00:00;10.90;11;19
16/4/1895 00:00:00;12.00;11;19
17/4/1895 00:00:00;12.40;11;19
18/4/1895 00:00:00;12.20;11;19
19/4/1895 00:00:00;12.90;11;19
20/4/1895 00:00:00;14.00;11;19
21/4/1895 00:00:00;14.20;11;19
